id,state,title,description,technologies,reference_1,reference_2,reference_3,reference_4,reference_5,reference_6,reference_7,reference_8,reference_9,reference_10,last_update
6078,HI,Alternative Fuel Standard Development,"The state of Hawaii is responsible for facilitating the development of
alternative fuels and supporting the attainment of a statewide
alternative fuels standard. According to this standard, alternative
fuels will provide 20% of highway fuel demand by 2020 and 30% by 2030.
For the purposes of the alternative fuels standard, cellulosic ethanol
is equivalent to 2.5 gallons of non-cellulosic ethanol. (Reference
[Hawaii Revised Statutes](http://www.capitol.hawaii.gov/) 196-42)
",ELEC,<a href = 'http://www.capitol.hawaii.gov/' target = '_blank'>Hawaii Revised Statutes 196-42</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6097,MN,Electric Vehicle (EV) and Natural Gas Vehicle (NGV) Initiatives,"All solicitation documents that include the purchase of passenger
automobiles issued under the jurisdiction of the Minnesota Department of
Administration must assert the intention of the state to begin
purchasing all-electric vehicles (EVs), plug-in hybrid electric vehicles
(PHEVs), neighborhood electric vehicles, and natural gas vehicles
(NGVs). For this requirement to apply, vehicles must meet the state's
performance specifications and have a total life-cycle cost of ownership
less than or comparable to that of gasoline-powered vehicles.

An EV is defined as a motor vehicle that can be powered by an electric
motor drawing current from rechargeable storage batteries, fuel cells,
or other portable sources of electrical current, and meets or exceeds
applicable requirements in Title 49 of the Code of Federal Regulations,
section 571, and future regulations. A PHEV is defined as an EV that
contains an internal combustion engine and uses a battery-powered
electric motor to deliver power to the drive wheels. When connected to
the electrical grid via an electrical outlet, the vehicle must be able
to recharge its battery. The vehicle must have the ability to travel at
least 20 miles powered substantially by electricity. An NGV is defined
as motor vehicle that is capable of being propelled by natural gas,
including compressed natural gas and liquefied natural gas.

(Reference [Minnesota Statutes 16C.138 and 169.011](http://www.leg.state.mn.us/))",ELEC,<a href = 'http://www.leg.state.mn.us/' target = '_blank'>Minnesota Statutes 16C.138 and 169.011</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6105,RI,Alternative Fuel Vehicle (AFV) Tax Exemption Authorization - Warren,"The town of Warren may allow excise tax exemptions of up to \$100 for
qualified AFVs registered in Warren. Qualified vehicles must be
primarily fueled with one of the following: an electric motor drawing
current from rechargeable batteries or fuel cells; gas produced from
biomass, where biomass is defined as any organic material other than
oil, natural gas, and coal; liquid, gaseous or solid synthetic fuels
produced from coal; or coke or coke gas. (Reference [Rhode Island
General Laws](http://webserver.rilin.state.ri.us/Statutes/) 44-34-14)
",ELEC,<a href = 'http://webserver.rilin.state.ri.us/Statutes/' target = '_blank'>Rhode Island General Laws 44-34-14</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6132,CA,Alternative Fuel Vehicle (AFV) and Fueling Infrastructure Grants,"The Motor Vehicle Registration Fee Program (Program) provides funding
for projects that reduce air pollution from on- and off-road vehicles.
Eligible projects include purchasing AFVs and developing alternative
fueling infrastructure. For more information, including grant funding
and distribution, contact [local air
districts](https://ww2.arb.ca.gov/air-pollution-control-districts) and
see the
[Program](https://ww2.arb.ca.gov/resources/fact-sheets/motor-vehicle-registration-fee-program)
website for more information about available grant funding and
distribution from the Program. (Reference [California Health and Safety
Code](https://leginfo.legislature.ca.gov/faces/home.xhtml) 44220 (b))
",ELEC,<a href = 'http://www.oal.ca.gov/' target = '_blank'>California Health and Safety Code 44220 (b)</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6154,WI,Vehicle Battery and Engine Research Tax Credits,"A corporation involved in qualified research is eligible for a tax
credit equal to 11.5% of the qualified research expenses that the
corporation incurs in Wisconsin during the taxable year. Qualified
research includes, but is not limited to, automotive batteries for use
in hybrid electric vehicles that improve the efficiency of electricity
use, and research related to designing internal combustion engines for
vehicles, including expenses related to designing vehicles that are
powered by such engines and improving production processes for such
engines and vehicles. For the purpose of the tax credit, internal
combustion engines include fuel cell, electric, and hybrid electric
vehicles. Corporations may claim an additional tax credit equal to 5% of
the amount paid or incurred during the taxable year to construct and
equip new facilities or expand existing facilities used in Wisconsin for
qualified research. For more information see the Wisconsin Department of
Revenue [Research
Credits](https://www.revenue.wi.gov/Pages/Businesses/incentives-research.aspx)
website

(Reference [71.28(4)(ab)(2), 71.28(4)(ad), and 71.28(5)(ad)](http://legis.wisconsin.gov/rsb/stats.html))",ELEC,"<a href = 'http://legis.wisconsin.gov/rsb/stats.html' target = '_blank'>71.28(4)(ab)(2), 71.28(4)(ad), and 71.28(5)(ad)</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6155,WI,Alternative Fuel Tax Refund for Taxis,"A person using alternative fuel to operate a taxi used to transport
passengers may be reimbursed for the cost of the Wisconsin state fuel
tax. Refund claims must be filed within one year of the fuel purchase
date and must be for a minimum of 100 gallons of alternative fuel.

(Reference [Wisconsin Statutes 78.75(1m)(a)(1) and 78.75(1m)(b)](http://legis.wisconsin.gov/rsb/stats.html))",ELEC,<a href = 'http://legis.wisconsin.gov/rsb/stats.html' target = '_blank'>Wisconsin Statutes 78.75(1m)(a)(1) and 78.75(1m)(b)</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6163,OH,Diesel Emissions Reduction Grant Program,"The Ohio Environmental Protection Agency (Ohio EPA) provides Diesel
Emissions Reduction Grants (DERG) for projects that reduce emissions by
retiring and replacing diesel public transit buses. Eligible projects
must achieve a minimum funding match of 20% from non-state and
non-federal sources. Funding for this program is provided by the U.S.
Department of Transportation Federal Highway Administration's
[Congestion Mitigation and Air Quality Improvement (CMAQ)
Program](http://codes.ohio.gov/orc/). For more information, including
application periods, see the Ohio EPA
[DERG](https://epa.ohio.gov/divisions-and-offices/environmental-education/grant-programs/diesel-emission-reduction-grants)
website.

(Reference [Ohio Revised Code 122.861](http://codes.ohio.gov/orc/))",ELEC,<a href = 'http://codes.ohio.gov/orc/' target = '_blank'>Ohio Revised Code 122.861</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6164,OH,Alternative Fuel Vehicle Acquisition and Fuel Use Requirements,"With the exception of law enforcement vehicles, all newly acquired state
agency vehicles must be capable of using an alternative fuel and must
use the relevant alternative fuel if it is reasonably priced and
available. Alternative fuel is defined as any fuel containing 85% or
more ethanol (E85), fuel blends containing at least 20% biodiesel (B20),
natural gas, propane, hydrogen, electricity, or any other fuel that the
U.S. Department of Energy has determined is substantially not petroleum.
State agencies must also meet the annual average fuel economy
requirement set by the Ohio Department of Administrative Services on all
passenger automobiles purchased. Law enforcement and emergency rescue
work vehicles are exempt from this requirement. The Office of the Ohio
Treasurer established a biodiesel revolving fund in which funds
appropriated by the Ohio General Assembly can be used to pay for the
incremental cost of biodiesel used in state owned or leased diesel
vehicles.

(Reference [Ohio Revised Code 125.831-125.836](https://codes.ohio.gov/ohio-revised-code))",ELEC,"<a href = 'http://www.legislature.state.oh.us/' target = '_blank'>House Bill 59, 2013; </a>",<a href = 'http://www.dsireusa.org/documents/Incentives/EO 2007-02S.pdf' target = '_blank'>Executive Order 2007-02</a>,<a href = 'https://codes.ohio.gov/ohio-revised-code' target = '_blank'>Ohio Revised Code 125.831-125.836</a>,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6180,NM,Alternative Fuel and Advanced Vehicle System Manufacturing Incentive,"The Alternative Energy Product Manufacturers Tax Credit provides credit
against combined reporting taxes (gross receipts, compensating, and
withholding) for qualified manufacturers of alternative energy products,
including hydrogen and fuel cell vehicle systems, and electric and
hybrid electric vehicles. The credit is limited to 5% of qualifying
expenditures, and manufacturers must fulfill job creation requirements
to be eligible. Qualified manufacturers must apply for and receive
approval from the New Mexico Taxation and Revenue Department before they
may claim the credit. For more information, including eligibility and
application details, refer to the [Alternative Energy Product
Manufacturers Tax
Credit](https://edd.newmexico.gov/choose-new-mexico/competitive-business-climate/incentives/alternative-energy-product-manufacturers-tax-credit)
website. (Reference [New Mexico
Statutes](https://nmonesource.com/nmos/nmsa/en/nav_date.do) 7-9J-1
through 7-9J-8)
",ELEC,<a href = 'http://www.nmonesource.com/nmnxtadmin/NMPublic.aspx' target = '_blank'>New Mexico Statutes 7-9J-1 through 7-9J-8</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6206,AZ,Joint Use of Government Fueling Infrastructure,"To the extent practical, an Arizona state agency or political
subdivision that operates an alternative fueling station must allow
vehicles, other state agencies, or political subdivisions to fuel at the
station. For the purpose of this requirement, alternative fuels include
propane, natural gas, electricity, hydrogen, and a blend of hydrogen
with propane or natural gas.

(Reference [Arizona Revised Statutes 1-215 and 49-572](https://www.azleg.gov/ARStitle/))",ELEC,<a href = 'https://www.azleg.gov/ARStitle/' target = '_blank'>Arizona Revised Statutes 1-215 and 49-572</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6212,WA,State Electric Vehicle (EV) Charging Infrastructure Availability,"Publicly and privately owned EVs may charge at state office locations if
the vehicles are used for state business, conducting business with the
state, or as commuter vehicles. Additionally, contingent upon funding,
the state must install electrical outlets suitable for charging EVs in
each of the state's fleet parking and maintenance facilities as well as
every state-operated highway rest stop. The Washington Department of
Enterprise Services may report to the governor and the legislature on
the amount of electricity consumed and the number of EVs using
state-owned charging equipment if it represents a significant cost to
the state. (Reference [Revised Code of
Washington](http://apps.leg.wa.gov/rcw/) 43.01.250, 43.19.648, and
47.38.075)
",ELEC,"<a href = 'http://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 43.01.250, 43.19.648, and 47.38.075</a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6214,WA,Alternative Fuel Use Requirement,"All state agencies must, to the extent practicable, use 100% biofuels or
electricity to operate all publicly owned vehicles. Agencies must
prioritize all-electric vehicles (EVs) when leasing or purchasing new
vehicles, and all trips that may feasibly use EVs must employ them. For
vehicle classes without EV model options, agencies must prioritize the
most cost-efficient, low-emission vehicle option available. Agencies may
substitute natural gas or propane for electricity or biofuel if the
Washington State Department of Commerce (Department) determines that
electricity and biofuel are not reasonably available. Practicability and
measures of compliance are defined in [rules
adopted](http://apps.leg.wa.gov/wac/default.aspx?cite=194-28&full=true)
by the Department. The governor has established a cross-agency Governing
Council, which must adopt and implement standards, measures, targets,
and tools to support agencies in reducing greenhouse gas emissions and
prioritizing EV adoption.

In addition, all local government agencies must, to the extent
practicable, use 100% biofuels or electricity to operate all publicly
owned vehicles. Transit agencies using compressed natural gas and engine
retrofits that would void vehicle warranties are exempt from this
requirement. To allow the motor vehicle fuel needs of state and local
government to be satisfied by Washington-produced biofuels, the
Washington Department of Enterprise Services and local governments may
contract in advance and execute contracts with public or private
producers and suppliers for the purchase of appropriate biofuels.
Agencies may substitute natural gas or propane in vehicles if the
Department determines that biofuels and electricity are not reasonably
available. Practicability and measures of compliance are defined in
[rules](http://apps.leg.wa.gov/wac/default.aspx?cite=194-29) adopted by
the Department.

(Reference [Executive
Order](http://www.governor.wa.gov/office-governor/official-actions/executive-orders)
18-01, 2018, [Washington Administrative
Code](http://apps.leg.wa.gov/wac/) 194-28 and 194-29, and [Revised Code
of Washington](http://apps.leg.wa.gov/rcw/) 43.19.647 and 43.19.648)
",ELEC,<a href = 'http://apps.leg.wa.gov/rcw/' target = '_blank'>Revised Code of Washington 43.19.647 and 43.19.648</a>,<a href = 'http://apps.leg.wa.gov/wac/' target = '_blank'>Washington Administrative Code 194-28 and 194-29</a>,"<a href = 'http://www.governor.wa.gov/office-governor/official-actions/executive-orders' target = '_blank'>Executive Order 18-01, 2018</a>",NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6219,IN,Vehicle Research and Development Grants,"The Indiana 21st Century Research and Technology Fund provides grants
and loans to support economic development in high technology industry
clusters. Incentives are available for qualified alternative fuel
technologies and fuel-efficient vehicle development and production. For
more information, see the Indiana [Venture
Development](https://www.iedc.in.gov/programs/innovation-entrepreneurship/venture-development)
website. (Reference [Indiana
Code](http://www.in.gov/legislative/ic/code/) 5-28-16-2)
",ELEC,<a href = 'http://www.in.gov/legislative/ic/code/' target = '_blank'>Indiana Code 5-28-16-2</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6245,TN,Alternative Fuel and Fuel-Efficient Vehicle Acquisition and Use Requirements,"The Tennessee Department of General Services must ensure that at least
25% of newly purchased passenger motor vehicles procured for use in
areas designated as ozone nonattainment areas are all-electric vehicles
(EVs), hybrid electric vehicles (HEVs), natural gas vehicles (NGVs), or
propane powered vehicles, provided that such vehicles are available at
the time of procurement. If these vehicles are not available,
conventional gasoline vehicles achieving an average fuel economy of at
least 25 miles per gallon (mpg) may satisfy the requirement. In areas
not designated as ozone nonattainment areas, at least 25% of newly
purchased passenger motor vehicles must be EVs, HEVs, NGVs, propane
powered vehicles, or conventional gasoline vehicles achieving an average
fuel economy of at least 25 mpg. For non-passenger vehicles, state
fleets must make a reasonable effort to purchase at least 5% of these
vehicles as natural gas or propane vehicles.

State fleets must make every effort to ensure that 100% of newly
purchased motor vehicles are energy-efficient vehicles. Energy-efficient
vehicles are defined as passenger vehicles that use alternative fuels,
as defined by the Energy Policy Act of 1992; HEVs; conventional gasoline
vehicles achieving an average fuel economy of at least 25 mpg; or
vehicles powered by ultra-low sulfur diesel achieving an average fuel
economy of at least 30 mpg. Additionally, state agencies should use
ethanol and biodiesel in appropriate state-owned vehicles whenever
possible and support the development of biofuels fueling infrastructure.

The Tennessee Department of General Services must inventory the state's
passenger vehicle fleet and prepare annual progress reports that outline
the fleet's cost savings, pollution avoidance, and petroleum
displacement.

(Reference [Tennessee Code 4-3-1109](https://www.tncourts.gov/Tennessee%20Code))",ELEC,"<a href = 'http://www.state.tn.us/sos/pub/execorders/index.htm' target = '_blank'>Executive Order 33, 2006</a>",<a href = 'https://www.tncourts.gov/Tennessee%20Code' target = '_blank'>Tennessee Code 4-3-1109</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6249,CT,School Bus Emissions Reduction,"Each full-sized school bus with a Model Year (MY) 1994 or newer engine
must be equipped with specific emissions control systems, including
either: a closed crankcase filtration system and a level 1, level 2, or
level 3 device; an engine that the U.S. Environmental Protection Agency
(EPA) has certified as meeting MY 2007 emissions standards; or use of
compressed natural gas or other alternative fuel that EPA or the
California Air Resources Board has certified to reduce particulate
matter emissions by at least 85% as compared to ultra-low sulfur diesel
fuel. Beginning January 1, 2035, school districts may only purchase
zero-emission school buses, and all school buses in Connecticut must be
zero emission by 2040. School districts within environmental justice
communities as of July 1, 2022, must transition to zero emission buses
by January 1, 2030. School districts may enter zero-emission school bus
contracts for 10 year periods.

(Reference [Connecticut General Statutes 14-164o](http://www.cga.ct.gov/) and [Senate Bill 4, 2022](https://www.cga.ct.gov/))",ELEC,<a href = 'http://www.cga.ct.gov/' target = '_blank'>Connecticut General Statutes 14-164o</a>,"<a href = 'https://www.cga.ct.gov/' target = '_blank'>Senate Bill 4, 2022</a>",NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6251,NV,Funds for School District Alternative Fuel Use,"A portion of any penalty assessed for violations of air pollution
control laws must be deposited in the county school district fund where
the violation occurred. The local air pollution control board must
approve expenditures from the fund, which are limited to education
programs on topics relating to air quality and projects to improve air
quality, including the purchase and installation of equipment to
retrofit district school buses to operate on biodiesel, compressed
natural gas, or a similar fuel that reduces emissions. (Reference
[Nevada Revised Statutes](http://www.leg.state.nv.us/law1.cfm) 445B.500)
",ELEC,<a href = 'http://www.leg.state.nv.us/law1.cfm' target = '_blank'>Nevada Revised Statutes 445B.500</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6307,CA,Alternative Fuel and Vehicle Incentives,"The California Energy Commission (CEC) administers the Clean
Transportation Program (Program) to provide financial incentives for
businesses, vehicle and technology manufacturers, workforce training
partners, fleet owners, consumers, and academic institutions with the
goal of developing and deploying alternative and renewable fuels and
advanced transportation technologies. Funding areas include:

-   Electric vehicles and charging infrastructure;
-   Hydrogen vehicles and refueling infrastructure;
-   Medium- and heavy-duty zero emission vehicles;
-   Natural gas vehicles and refueling infrastructure;
-   Biofuels; and,
-   Workforce development.

The CEC must prepare and adopt an annual [Investment
Plan](https://www.energy.ca.gov/transportation/arfvtp/investmentplans.html)
for the Program to establish funding priorities and opportunities that
reflect program goals and to describe how program funding will
complement other public and private investments. For more information,
see the
[Program](https://www.energy.ca.gov/programs-and-topics/programs/clean-transportation-program)
website.

(Reference [California Health and Safety
Code](https://leginfo.legislature.ca.gov/faces/home.xhtml) 44272 - 44273
and [California Code of Regulations](http://www.oal.ca.gov/), Title 13,
Chapter 8.1)
",ELEC,<a href = 'http://www.oal.ca.gov/' target = '_blank'>California Vehicle Code 5205.5; </a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6331,IL,Advanced Vehicle Acquisition and Biodiesel Fuel Use Requirement,"All gasoline-powered vehicles purchased with state funds must be flex
fuel vehicles (FFVs) or fuel-efficient hybrid electric vehicles (HEVs).
FFVs are defined as automobiles or light trucks that operate on either
gasoline or 85% ethanol (E85) fuel. Fuel-efficient HEVs are defined as
automobiles or light trucks that use a gasoline or diesel engine and an
electric motor to provide power and that gain at least a 20% increase in
combined U.S. Environmental Protection Agency city-highway fuel economy
over a comparable conventionally-powered model. Any vehicle purchased
with state funds that is fueled with diesel fuel must be certified by
the manufacturer to run on 5% biodiesel (B5) fuel.

15% of all vehicles purchased with state funds must be fueled by
electricity, natural gas, or liquefied petroleum gas, with the exception
of Department of Corrections, Department of State Police patrol, and
Secretary of State vehicles. Additional exemptions may apply.

The Chief Procurement Officer may determine that certain vehicle
procurements are exempt from these requirements based on intended use or
other reasonable considerations such as health and safety of Illinois
citizens.

(Reference [30 Illinois Compiled Statutes 500/25-75](http://www.ilga.gov/legislation/ilcs/ilcs.asp))",ELEC,"<a href = 'http://www.ilga.gov/' target = '_blank'>Senate Bill 2803, 2014</a>",<a href = 'http://www.ilga.gov/legislation/ilcs/ilcs.asp' target = '_blank'>30 Illinois Compiled Statutes 500/25-75</a>,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6416,HI,Clean Transportation Promotion,"The state of Hawaii has signed a memorandum of understanding (MOU) with
the U.S. Department of Energy to collaborate to produce 70% of the
state's energy needs from energy-efficient and renewable sources by 2030
and 100% of the state's energy needs from energy-efficient and renewable
sources by 2045. This effort is part of the Hawaii Clean Energy
Initiative. The goals of the partnership include defining the structural
transformation required to transition the state to a clean
energy-dominated economy; demonstrating and fostering innovation in the
use of clean energy, including alternative fuels and advanced vehicle
technologies; creating opportunities for the widespread distribution of
clean energy benefits; establishing an open learning model for other
states and entities to adopt; and building a workforce with
cross-cutting skills to support a clean energy economy in the state. For
more information, see the
[MOU](https://energy.hawaii.gov/wp-content/uploads/2022/06/HI-DOE_MOU_9.15.14.pdf)
and [Hawaii Clean Energy
Initiative](https://energy.hawaii.gov/hawaii-clean-energy-initiative/)
website.

(Reference [Hawaii Revised Statutes 196-10.5](http://www.capitol.hawaii.gov/))",ELEC,<a href = 'http://www.capitol.hawaii.gov/' target = '_blank'>Hawaii Revised Statutes 196-10.5</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6458,SC,State Agency Preference for Alternative Fuel and Advanced Vehicles,"State agencies purchasing motor vehicles must give preference to hybrid,
plug-in hybrid electric, all-electric, biodiesel, hydrogen, fuel cell,
or flexible fuel vehicles when the performance, quality, and anticipated
life cycle costs are comparable to other available motor vehicles.

(Reference [South Carolina Code of Laws 1-11-310](http://www.scstatehouse.gov/code/statmast.php))",ELEC,<a href = 'http://www.scstatehouse.gov/code/statmast.php' target = '_blank'>South Carolina Code of Laws 1-11-310</a>,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6468,MA,State Hybrid Electric Vehicle (HEV) Alternative Fuel Vehicle (AFV) Acquisition Requirements,"When purchasing new motor vehicles, the Commonwealth of Massachusetts
must purchase HEVs or AFVs to the maximum extent feasible and consistent
with the ability of such vehicles to perform their intended functions.
HEVs and AFVs must be acquired at a rate of at least 5% annually for all
new motor vehicle purchases so that not less than 50% of the motor
vehicles the Commonwealth owns and operates will be HEVs or AFVs by
2018.

State fleets must also acquire AFVs according to the requirements of the
Energy Policy Act (EPAct) of 1992 and the Massachusetts Office of
Vehicle Management (OVM) must approve any light-duty vehicle
acquisition. All agencies must purchase the most economical,
fuel-efficient, and low emission vehicles appropriate to their mission.
OVM, in collaboration with the Massachusetts Department of Energy
Resources, will set new minimum standards for vehicle fuel economy and
work with agencies to acquire vehicles that provide the best value for
the Commonwealth on a total cost of ownership basis.

By July 1 of each year, OVM must compile a report detailing the progress
made towards these requirements.

(Reference [Massachusetts General Laws Chapter 7, Section 9A](http://www.malegislature.gov/Laws/GeneralLaws/))",ELEC,"<a href = 'http://www.lawlib.state.ma.us/source/mass/eo/index.html' target = '_blank'>Executive Order 388, 1996</a>","<a href = 'http://www.malegislature.gov/Laws/GeneralLaws/' target = '_blank'>Massachusetts General Laws Chapter 7, Section 9A</a>","<a href = 'http://www.mass.gov/anf/budget-taxes-and-procurement/admin-bulletins/' target = '_blank'>Massachusetts Executive Office of Administration and Finance Administrative Bulletin 10, 2010</a>",NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6490,CA,Alternative Fuel and Hybrid Electric Vehicle Retrofit Regulations,"Converting a vehicle to operate on an alternative fuel in lieu of the
original gasoline or diesel fuel is prohibited unless the California Air
Resources Board (CARB) has evaluated and certified the retrofit system.
CARB will issue certification to the manufacturer of the system in the
form of an Executive Order once the manufacturer demonstrates compliance
with the emissions, warranty, and durability requirements. A
manufacturer is defined as a person or company who manufactures or
assembles an alternative fuel retrofit system for sale in California;
this definition does not include individuals wishing to convert vehicles
for personal use. Individuals interested in converting their vehicles to
operate on an alternative fuel must ensure that the alternative fuel
retrofit systems used for their vehicles have been CARB certified. For
more information, see the CARB [Alternative Fuel Retrofit
Systems](https://ww3.arb.ca.gov/msprog/aftermkt/altfuel/altfuel.htm)
website.

A hybrid electric vehicle that is Model Year 2000 or newer and is a
passenger car, light-duty truck, or medium-duty vehicle may be converted
to incorporate off-vehicle charging capability if the manufacturer
demonstrates compliance with emissions, warranty, and durability
requirements. CARB issues certification to the manufacturer and the
vehicle must meet California emissions standards for the model year of
the original vehicle.

(Reference [California Code of Regulations](http://www.oal.ca.gov/)
Title 13, Section 2030-2032, and [California Vehicle
Code](https://leginfo.legislature.ca.gov/faces/home.xhtml) 27156)
",ELEC,"<a href = 'http://www.oal.ca.gov/' target = '_blank'>California Code of Regulations Title 13, Section 2030-2032, and </a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-25T15:18:49Z
6492,CA,Vehicle Acquisition and Petroleum Reduction Requirements,"The California Department of General Services (DGS) is responsible for
maintaining specifications and standards for passenger cars and
light-duty trucks that are purchased or leased for state office, agency,
and department use. These specifications include minimum vehicle
emissions standards and encourage the purchase or lease of
fuel-efficient and alternative fuel vehicles (AFVs). Specifically, DGS
must reduce or displace the fleet's consumption of petroleum products by
20% by January 1, 2020, as compared to the 2003 consumption level.
Beginning in fiscal year 2024, DGS must also ensure that at least 50% of
the light-duty vehicles purchased by the state are zero emission
vehicles (ZEVs). Further, at least 15% of DGS' fleet of new vehicles
with a gross vehicle weight rating of 19,000 pounds or more must be ZEVs
by 2025, and at least 30% by 2030.

On an annual basis, DGS must compile information including, but not
limited to, the number of AFVs and hybrid electric vehicles acquired,
the locations of the alternative fuel pumps available for those
vehicles, and the total amount of alternative fuels used. Vehicles the
state owns or leases that are capable of operating on alternative fuel
must operate on that fuel unless the alternative fuel is not available.
DGS is also required to:

-   Take steps to transfer vehicles between agencies and departments to
    ensure that the most fuel-efficient vehicles are used and to
    eliminate the least fuel-efficient vehicles from the state's motor
    vehicle fleet;
-   Submit annual progress reports to the California Department of
    Finance, related legislative committees, and the general public via
    the
    [DGS](https://www.dgs.ca.gov/OFAM/Services/Page-Content/Office-of-Fleet-and-Asset-Management-Services-List-Folder/Report-your-Vehicle-Data?search=alternative%20fuel%20vehicles)website;
-   Encourage other agencies to operate AFVs on the alternative fuel for
    which they are designed, to the extent feasible;
-   Encourage the development of commercial fueling infrastructure at or
    near state vehicle fueling or parking sites;
-   Work with other agencies to incentivize and promote state employee
    use of AFVs through preferential or reduced-cost parking, access to
    electric vehicle charging, or other means, to the extent feasible;
    and
-   Establish a more stringent fuel economy standard than the 2007
    standard.

Beginning January 1, 2024, DGS must develop criteria to evaluate
commercial car rental service contracts based on the number of ZEVs or
PHEVs available in the service's fleet.

(Reference [California Public Resources
Code](https://leginfo.legislature.ca.gov/faces/home.xhtml)
25722.5-25722.11 and 25724)

(Reference [California Public Resources Code 25722.5-25722.11, and 25724](http://www.oal.ca.gov/), [Senate Bill 1010, 2022](https://leginfo.legislature.ca.gov/faces/home.xhtml), and [Senate Bill 1305, 2022](https://leginfo.legislature.ca.gov/faces/home.xhtml))",ELEC,"<a href = 'http://www.documents.dgs.ca.gov/ofa/eos-14-09.pdf' target = '_blank'>Executive Order S-14-09, 2009, and </a>","<a href = 'http://leginfo.legislature.ca.gov' target = '_blank'>Senate Bill 498, 2017</a>","<a href = 'http://leginfo.legislature.ca.gov' target = '_blank'>Assembly Bill 739, 2017</a>","<a href = 'http://www.oal.ca.gov/' target = '_blank'>California Public Resources Code 25722.5-25722.11, and 25724</a>","<a href = 'https://leginfo.legislature.ca.gov/faces/home.xhtml' target = '_blank'>Senate Bill 1010, 2022</a>","<a href = 'https://leginfo.legislature.ca.gov/faces/home.xhtml' target = '_blank'>Senate Bill 1305, 2022</a>",NA,NA,NA,NA,2022-12-25T15:18:49Z
